ΑΦΜ,Επωνυμία,Πόλη,Περιφέρεια,ΔΟΥID,Κλάδος,Email,Τηλέφωνο
100111111,Επιχείρηση 1 ΑΕ,Θεσσαλονίκη,Κεντρική Μακεδονία,5,Τεχνολογία,info1@epixeirisi1.gr,2104744854
100222222,Επιχείρηση 2 ΑΕ,Πάτρα,Δυτική Ελλάδα,6,Εκπαίδευση,info2@epixeirisi2.gr,2101533224
100333333,Επιχείρηση 3 ΑΕ,Αθήνα,Αττική,1,Τεχνολογία,info3@epixeirisi3.gr,2109478454
100444444,Επιχείρηση 4 ΑΕ,Γλυφάδα,Αττική,1,Εκπαίδευση,info4@epixeirisi4.gr,2104698379
100555555,Επιχείρηση 5 ΑΕ,Καλαμάτα,Πελοπόννησος,1,Βιομηχανία,info5@epixeirisi5.gr,2108090293
100666666,Επιχείρηση 6 ΑΕ,Ζάκυνθος,Ιόνια Νησιά,3,Τεχνολογία,info6@epixeirisi6.gr,2106647119
100777777,Επιχείρηση 7 ΑΕ,Θεσσαλονίκη,Κεντρική Μακεδονία,5,Υπηρεσίες,info7@epixeirisi7.gr,2107022674
100888888,Επιχείρηση 8 ΑΕ,Ζάκυνθος,Ιόνια Νησιά,1,Υγεία,info8@epixeirisi8.gr,2109996414
100999999,Επιχείρηση 9 ΑΕ,Βέροια,Κεντρική Μακεδονία,4,Κατασκευές,info9@epixeirisi9.gr,2107067228
101111110,Επιχείρηση 10 ΑΕ,Ηράκλειο,Κρήτη,7,Τεχνολογία,info10@epixeirisi10.gr,2105855124
101222221,Επιχείρηση 11 ΑΕ,Θεσσαλονίκη,Κεντρική Μακεδονία,4,Εκπαίδευση,info11@epixeirisi11.gr,2105663623
101333332,Επιχείρηση 12 ΑΕ,Καλαμάτα,Πελοπόννησος,3,Τουρισμός,info12@epixeirisi12.gr,2106960453
101444443,Επιχείρηση 13 ΑΕ,Χανιά,Κρήτη,7,Βιομηχανία,info13@epixeirisi13.gr,2109961380
101555554,Επιχείρηση 14 ΑΕ,Ηράκλειο,Κρήτη,7,Εκπαίδευση,info14@epixeirisi14.gr,2105528972
101666665,Επιχείρηση 15 ΑΕ,Χανιά,Κρήτη,7,Τεχνολογία,info15@epixeirisi15.gr,2101538552
101777776,Επιχείρηση 16 ΑΕ,Ζάκυνθος,Ιόνια Νησιά,5,Υπηρεσίες,info16@epixeirisi16.gr,2104539704
101888887,Επιχείρηση 17 ΑΕ,Κέρκυρα,Ιόνια Νησιά,8,Εκπαίδευση,info17@epixeirisi17.gr,2108698256
101999998,Επιχείρηση 18 ΑΕ,Αγρίνιο,Δυτική Ελλάδα,6,Τεχνολογία,info18@epixeirisi18.gr,2105408072
102111109,Επιχείρηση 19 ΑΕ,Άρτα,Ήπειρος,6,Τεχνολογία,info19@epixeirisi19.gr,2103320821
102222220,Επιχείρηση 20 ΑΕ,Τρίπολη,Πελοπόννησος,1,Υπηρεσίες,info20@epixeirisi20.gr,2103564251
